City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,princeville,45.7668,-61.2985,15.98,89,100,2.06,CA,1686233983
84,santo domingo,18.5001,-69.9886,31.07,82,40,5.14,DO,1686233957
85,maych'ew,12.7875,39.5422,21.43,45,23,4.46,ET,1686233983
86,lethem,3.3803,-59.7968,28.82,71,17,3.97,GY,1686233983
87,sechura,-5.5569,-80.8222,24.83,73,100,5.58,PE,1686233734
88,beinamar,8.6698,15.3813,29.04,61,92,2.95,TD,1686233983
89,piterka,50.6803,47.4454,24.13,33,52,5.17,RU,1686233983
90,anadyr,64.75,177.4833,5.28,75,20,0.0,RU,1686233470
91,ikwiriri,-7.9562,38.9716,25.68,84,31,2.67,TZ,1686233983
92,belmonte,-15.8631,-38.8828,25.01,77,46,4.93,BR,1686233983
93,susangerd,31.5608,48.1831,44.51,8,43,6.51,IR,1686233984
94,dame-marie,18.5667,-74.4167,29.22,66,90,1.88,HT,1686233984
95,codrington,-38.2667,141.9667,10.6,72,99,8.13,AU,1686233513
96,westport,41.1415,-73.3579,19.3,63,40,2.68,US,1686233463
97,vilyuchinsk,52.9306,158.4028,7.92,79,84,1.38,RU,1686233478
98,puerto natales,-51.7236,-72.4875,-1.75,100,75,1.54,CL,1686233360
99,nasiriyah,31.0521,46.261,44.24,9,83,6.22,IQ,1686233984
100,kourou,5.1552,-52.6478,29.03,72,31,2.35,GF,1686233452
101,okhotsk,59.3833,143.3,5.45,83,16,1.79,RU,1686233454
102,togur,58.3631,82.8265,21.33,74,100,3.17,RU,1686233984
103,san antonio de pale,-1.4014,5.6325,25.3,75,100,4.81,GQ,1686233483
104,tuensang,26.2833,94.8333,25.2,71,79,1.36,IN,1686233984
105,namanga,-2.5433,36.7905,26.62,34,13,2.78,KE,1686233985
106,khovd,48.0056,91.6419,25.7,24,82,0.71,MN,1686233985
107,taroa,8.7058,171.2275,28.22,81,91,7.97,MH,1686233985
108,thurso,58.5927,-3.5259,12.7,72,70,6.18,GB,1686233349
109,lagoa,39.05,-27.9833,17.6,74,37,5.48,PT,1686233985
110,sur,22.5667,59.5289,35.5,39,0,0.96,OM,1686233985
111,nelson,-41.2833,173.2833,5.72,87,1,1.34,NZ,1686233985
112,pangody,65.85,74.4859,8.88,50,100,7.91,RU,1686233512
113,kot malik barkhurdar,30.1944,66.993,32.29,10,0,1.97,PK,1686233985
114,touros,-5.1989,-35.4608,29.92,62,29,7.09,BR,1686233472
115,olonkinbyen,70.9221,-8.7187,2.4,94,100,9.78,SJ,1686233271
116,utrik,11.2278,169.8474,26.64,83,98,10.15,MH,1686233476
117,kristiansund,63.1115,7.732,14.03,58,20,7.2,NO,1686233519
118,bhinga,27.7167,81.9333,36.62,13,0,2.73,IN,1686233986
119,slave lake,55.2834,-114.769,11.99,71,100,1.54,CA,1686233955
120,khandyga,62.6667,135.6,12.09,63,91,1.91,RU,1686233498
121,bilibino,68.0546,166.4372,9.88,49,3,2.13,RU,1686233460
122,iqaluit,63.7506,-68.5145,3.72,80,100,3.6,CA,1686233470
123,pontianak,-0.0333,109.3333,23.99,100,75,2.06,ID,1686233986
124,college,64.8569,-147.8028,15.11,68,75,1.54,US,1686233456
125,ventspils,57.3894,21.5606,18.96,55,0,3.09,LV,1686233987
126,torghay,49.6339,63.4981,25.12,27,18,5.77,KZ,1686233987
127,akureyri,65.6835,-18.0878,13.96,54,75,3.6,IS,1686233987
128,whitehorse,60.7161,-135.0538,9.06,66,86,4.47,CA,1686233479
129,tura,25.5198,90.2201,29.73,55,88,2.08,IN,1686233456
130,chonchi,-42.6128,-73.8092,10.56,90,100,3.92,CL,1686233468
131,sitka,57.0531,-135.33,12.94,76,75,2.57,US,1686233473
132,port saint john's,-31.6229,29.5448,21.57,50,0,2.23,ZA,1686233987
133,isafjordur,66.0755,-23.124,10.02,76,100,2.57,IS,1686233488
134,zhenlai,45.8495,123.2973,15.31,52,68,2.59,CN,1686233987
135,cabo san lucas,22.8909,-109.9124,23.92,78,0,2.06,MX,1686233219
136,ilulissat,69.2167,-51.1,1.01,69,40,4.12,GL,1686233469
137,sao joao da barra,-21.6403,-41.0511,26.05,64,0,2.68,BR,1686233988
138,nova sintra,14.8667,-24.7167,22.03,81,1,3.57,CV,1686233988
139,haiku-pauwela,20.9219,-156.3051,23.91,77,0,0.89,US,1686233461
140,estevan,49.1334,-102.9842,23.11,64,20,6.69,CA,1686233988
141,marka,1.7159,44.7717,27.24,76,95,8.01,SO,1686233988
142,san patricio,28.017,-97.5169,26.92,78,100,3.7,US,1686233468
143,tommot,58.9564,126.2925,12.67,89,97,1.41,RU,1686233988
144,great falls,47.5002,-111.3008,19.26,91,100,0.0,US,1686233734
145,punta arenas,-53.15,-70.9167,-1.94,93,75,3.09,CL,1686233302
146,merizo village,13.2658,144.6691,27.31,83,100,3.37,GU,1686233989
147,polyarnyy,69.1989,33.4478,5.37,67,100,7.47,RU,1686233487
148,ilanskiy,56.2358,96.065,19.91,68,88,3.12,RU,1686233989
149,vadso,70.0744,29.7487,8.09,57,40,6.69,NO,1686233494
150,tamanrasset,22.785,5.5228,36.95,8,20,3.6,DZ,1686233519
151,atafu village,-8.5421,-172.5159,28.39,74,57,4.19,TK,1686233455
152,st. john's,47.5649,-52.7093,14.88,93,75,1.03,CA,1686233198
153,invercargill,-46.4,168.35,3.99,94,51,2.14,NZ,1686233414
154,yamada,39.4667,141.95,16.72,96,100,3.3,JP,1686233989
155,chapada dos guimaraes,-15.4606,-55.7497,24.81,37,0,1.77,BR,1686233990
156,yinchuan,38.4681,106.2731,26.05,15,0,4.94,CN,1686233990
157,sam roi yot,12.2708,99.872,25.33,90,100,2.84,TH,1686233990
158,tukrah,32.5341,20.5791,23.21,67,82,6.8,LY,1686233990
159,kawambwa,-9.7915,29.0791,28.61,22,11,0.72,ZM,1686233960
